ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG
556,EBRO,EL VAL,24.0,0
560,CANTÁBRICO OCCIDENTAL,TANES,38.0,0
562,GUADALQUIVIR,AGUASCEBAS,6.0,0
563,GUADALQUIVIR,CANTILLANA,21.0,1
564,GUADALQUIVIR,GUADALEN,168.0,0
569,CUENCA MEDITERRÁNEA ANDALUZA,GUADALHORCE-GUADALTEBA,312.0,0
570,CUENCA MEDITERRÁNEA ANDALUZA,CUEVAS DE ALMANZORA,168.0,0
571,GUADALETE-BARBATE,CELEMIN,45.0,0
576,GUADIANA,GARGALIGAS,21.0,0
577,GUADIANA,LOS MOLINOS,34.0,0
579,MIÑO - SIL,OS PEARES,182.0,1
580,MIÑO - SIL,SAN PEDRO,6.0,1
584,DUERO,VILLALCAMPO,66.0,1
586,TAJO,GABRIEL Y GALAN,924.0,0
588,TAJO,LA JAROSA,7.0,0
589,TAJO,EL PARDO,45.0,0
590,TAJO,PUENTES VIEJAS,53.0,0
591,TAJO,TORREJON (TAJO - TIETAR),188.0,1
593,SEGURA,ALGECIRAS,45.0,0
596,JÚCAR,ARQUILLO DE SAN BLAS,22.0,0
598,JÚCAR,ESCALONA,99.0,0
600,EBRO,ALLOZ,84.0,0
601,EBRO,CASPE,82.0,0
602,EBRO,CANON DE SANTOLEA,82.0,0
603,EBRO,SABURO (LAGO),11.0,1
604,EBRO,PARRAS (LAS),5.0,0
605,EBRO,URRUNAGA,72.0,1
606,CUENCAS INTERNAS DE CATALUÑA,LA LLOSA DEL CAVALL,80.0,0
608,CUENCAS INTERNAS DE CATALUÑA,CATLLAR,59.0,0
609,CUENCAS INTERNAS DE CATALUÑA,FOIX,6.0,0
610,EBRO,SISTEMA ESCARRA,5.0,1
611,EBRO,LAS TORCAS,7.0,0
612,CANTÁBRICO OCCIDENTAL,DOIRAS,119.0,1
613,CANTÁBRICO OCCIDENTAL,SOMIEDO (LAGOS),9.0,1
615,GUADALQUIVIR,AGRIO (AZNALCOLLAR),40.0,0
618,GUADALQUIVIR,IZNAJAR,981.0,0
621,GUADALQUIVIR,ZOCUECA,5.0,0
623,GUADALETE-BARBATE,ARCOS DE LA FRONTERA,14.0,0
624,GUADALETE-BARBATE,BORNOS,204.0,0
626,GUADIANA,HORNO TEJERO,24.0,0
627,GUADIANA,GASSET,42.0,0
628,GUADIANA,ORELLANA,824.0,0
630,GUADIANA,TORRE DE ABRAHAN,183.0,0
631,MIÑO - SIL,MATALAVILLA,65.0,1
